city,county,population,coastal_water,identity_nickname,known_for_hooks,condo_relevance,buildings_tracked,fha_approved,fha_expired,va_accepted,va_rejected,precon_pipeline,2_flags,url_slug_hub,primary_keyword,page_template,wikipedia_ref
Aventura,MIAMI-DADE,"40,242",Intracoastal,"The ""City of Excellence""","Aventura Mall (largest FL mall), high-rise corridor on Country Club Dr, Brightline station",HIGH — tower city; almost entirely condo,93,0,3,2,13,2,7,condos-miami-dade-aventura,Aventura condos,city-hub,"https://en.wikipedia.org/wiki/Aventura,_Florida"
Bal Harbour,MIAMI-DADE,"~3,093",Oceanfront,Ultra-luxury enclave,"Bal Harbour Shops, St. Regis/Ritz resorts, one of priciest zips in US",HIGH — small but ultra-luxury oceanfront stock,27,0,0,0,0,1,0,condos-miami-dade-bal-harbour,Bal Harbour condos,city-hub,"https://en.wikipedia.org/wiki/Bal_Harbour,_Florida"
Bay Harbor Islands,MIAMI-DADE,"~5,922",Island/Intracoastal,Two-island town,"Boutique mid-rise boom, Kane Concourse, A-rated K-8",HIGH — boutique precon wave,68,0,1,1,1,9,1,condos-miami-dade-bay-harbor-islands,Bay Harbor Islands condos,city-hub,"https://en.wikipedia.org/wiki/Bay_Harbor_Islands,_Florida"
Biscayne Park,MIAMI-DADE,"~3,224",Inland,Village of log-cabin hall,"Historic village, tree canopy, no commercial district",LOW — nearly no condo stock,0,0,0,0,0,0,0,condos-miami-dade-biscayne-park,Biscayne Park condos,city-hub,"https://en.wikipedia.org/wiki/Biscayne_Park,_Florida"
Coral Gables,MIAMI-DADE,"49,248",Bay/Inland,The City Beautiful,"Merrick-planned city, Miracle Mile, UM campus, strict zoning",MED — low-rise condos + new luxury towers,119,0,5,4,3,8,2,condos-miami-dade-coral-gables,Coral Gables condos,city-hub,"https://en.wikipedia.org/wiki/Coral_Gables,_Florida"
Cutler Bay,MIAMI-DADE,"~45,425",Bay-adjacent,Young suburb,"Post-Andrew rebuild, Southland Mall redevelopment",LOW-MED — townhome/garden condos,10,0,1,0,1,1,1,condos-miami-dade-cutler-bay,Cutler Bay condos,city-hub,"https://en.wikipedia.org/wiki/Cutler_Bay,_Florida"
Doral,MIAMI-DADE,"75,874",Inland,Little Venezuela / golf city,"Trump Doral, CityPlace Doral, strongest Venezuelan community in US","MED — new mid-rise stock, young buildings",62,0,2,1,3,0,0,condos-miami-dade-doral,Doral condos,city-hub,"https://en.wikipedia.org/wiki/Doral,_Florida"
El Portal,MIAMI-DADE,"~1,928",Inland,Bird sanctuary village,Little River corridor spillover,LOW,0,0,0,0,0,0,0,condos-miami-dade-el-portal,El Portal condos,city-hub,"https://en.wikipedia.org/wiki/El_Portal,_Florida"
Florida City,MIAMI-DADE,"~13,085",Inland,Gateway to the Keys,Last stop before the 18-Mile Stretch; Homestead twin,LOW,3,0,1,0,0,0,0,condos-miami-dade-florida-city,Florida City condos,city-hub,"https://en.wikipedia.org/wiki/Florida_City,_Florida"
Golden Beach,MIAMI-DADE,~961,Oceanfront,Houses-only beach town,No condos ALLOWED by charter — single-family oceanfront only,NONE — charter bans condos (fun fact for page),0,0,0,0,0,0,0,condos-miami-dade-golden-beach,Golden Beach condos,city-hub,"https://en.wikipedia.org/wiki/Golden_Beach,_Florida"
Hialeah,MIAMI-DADE,"223,109",Inland,La Ciudad que Progresa,"2nd-largest FL city, 95% Hispanic, Hialeah Park racetrack","MED — huge affordable garden-condo stock, registry-heavy",334,0,119,3,5,1,5,condos-miami-dade-hialeah,Hialeah condos,city-hub,"https://en.wikipedia.org/wiki/Hialeah,_Florida"
Hialeah Gardens,MIAMI-DADE,"~23,068",Inland,Industrial-residential mix,,LOW,11,0,4,0,0,0,1,condos-miami-dade-hialeah-gardens,Hialeah Gardens condos,city-hub,"https://en.wikipedia.org/wiki/Hialeah_Gardens,_Florida"
Homestead,MIAMI-DADE,"80,737",Inland,Speedway + agriculture,"Homestead-Miami Speedway, fastest-growing corridor",LOW-MED — new townhome/condo growth,37,0,13,3,5,0,0,condos-miami-dade-homestead,Homestead condos,city-hub,"https://en.wikipedia.org/wiki/Homestead,_Florida"
Indian Creek,MIAMI-DADE,~84,Island,Billionaire Bunker,"~40 estates, private police force; Bezos/Brady/Ivanka",NONE — estate island (talking point only),0,0,0,0,0,0,0,condos-miami-dade-indian-creek,Indian Creek condos,city-hub,"https://en.wikipedia.org/wiki/Indian_Creek,_Florida"
Key Biscayne,MIAMI-DADE,"~14,809",Island/Oceanfront,Island paradise,"Crandon Park, Bill Baggs, Ritz Key Biscayne","HIGH — island condo market, older stock, milestone-critical",64,0,2,0,2,0,1,condos-miami-dade-key-biscayne,Key Biscayne condos,city-hub,"https://en.wikipedia.org/wiki/Key_Biscayne,_Florida"
Medley,MIAMI-DADE,~838,Inland,Industrial town,Warehouses; tiny residential base,NONE,0,0,0,0,0,0,0,condos-miami-dade-medley,Medley condos,city-hub,"https://en.wikipedia.org/wiki/Medley,_Florida"
Miami,MIAMI-DADE,"442,241",Bay/River,The Magic City,"Youngest major US city (1896), Brickell = densest condo corridor in America, Edgewater boom",HIGH — the epicenter; largest tracked stock,1404,2,265,63,77,1,54,condos-miami-dade-miami,Miami condos,city-hub,"https://en.wikipedia.org/wiki/Miami,_Florida"
Miami Beach,MIAMI-DADE,"82,890",Oceanfront,America's Riviera,"Art Deco District, South Beach, Ocean Drive; oldest concentrated condo stock in FL",HIGH — oldest oceanfront stock; recertification ground zero,687,1,8,12,20,11,30,condos-miami-dade-miami-beach,Miami Beach condos,city-hub,"https://en.wikipedia.org/wiki/Miami_Beach,_Florida"
Miami Gardens,MIAMI-DADE,"111,640",Inland,Home of Hard Rock Stadium,"Dolphins, F1 Miami GP, Orange Blossom Classic",LOW — minimal condo stock,12,0,0,0,0,0,0,condos-miami-dade-miami-gardens,Miami Gardens condos,city-hub,"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida"
Miami Lakes,MIAMI-DADE,"~30,467",Inland,Graham-planned town,"Main Street, lakes design",LOW-MED,27,0,0,0,0,0,0,condos-miami-dade-miami-lakes,Miami Lakes condos,city-hub,"https://en.wikipedia.org/wiki/Miami_Lakes,_Florida"
Miami Shores,MIAMI-DADE,"~11,567",Bay-adjacent,Village beautiful,"Barry University, historic village",LOW,7,0,0,0,0,0,0,condos-miami-dade-miami-shores,Miami Shores condos,city-hub,"https://en.wikipedia.org/wiki/Miami_Shores,_Florida"
Miami Springs,MIAMI-DADE,"~13,859",Inland,Pueblo-revival village,Curtiss-planned aviation town by MIA,LOW,14,0,2,0,1,0,1,condos-miami-dade-miami-springs,Miami Springs condos,city-hub,"https://en.wikipedia.org/wiki/Miami_Springs,_Florida"
North Bay Village,MIAMI-DADE,"~8,159",Island/Intracoastal,Three-island city,79th St Causeway islands; total redevelopment wave underway,HIGH — flagged-building case studies + precon wave,25,0,1,0,4,3,7,condos-miami-dade-north-bay-village,North Bay Village condos,city-hub,"https://en.wikipedia.org/wiki/North_Bay_Village,_Florida"
North Miami,MIAMI-DADE,"60,191",Bay-adjacent,NoMi,"FIU Biscayne campus, MOCA, SoLeMia mega-project",MED,69,0,4,0,8,2,7,condos-miami-dade-north-miami,North Miami condos,city-hub,"https://en.wikipedia.org/wiki/North_Miami,_Florida"
North Miami Beach,MIAMI-DADE,"43,676",Inland/Intracoastal,NMB,Ancient Spanish Monastery; Eastern Shores waterfront,MED — Eastern Shores + garden stock,89,0,5,2,6,3,3,condos-miami-dade-north-miami-beach,North Miami Beach condos,city-hub,"https://en.wikipedia.org/wiki/North_Miami_Beach,_Florida"
Opa-locka,MIAMI-DADE,"~16,463",Inland,Arabian Nights architecture,Largest Moorish-revival collection in West; airport,LOW,1,0,1,0,0,0,0,condos-miami-dade-opa-locka,Opa-locka condos,city-hub,"https://en.wikipedia.org/wiki/Opa-locka,_Florida"
Palmetto Bay,MIAMI-DADE,"~24,439",Bay-adjacent,Village of parks,Thalatta/Deering estates,LOW,15,0,0,0,1,0,1,condos-miami-dade-palmetto-bay,Palmetto Bay condos,city-hub,"https://en.wikipedia.org/wiki/Palmetto_Bay,_Florida"
Pinecrest,MIAMI-DADE,"~18,388",Inland,Estate suburb,Pinecrest Gardens (old Parrot Jungle),LOW,4,0,0,0,0,0,0,condos-miami-dade-pinecrest,Pinecrest condos,city-hub,"https://en.wikipedia.org/wiki/Pinecrest,_Florida"
South Miami,MIAMI-DADE,"~12,026",Inland,The City of Pleasant Living,"Sunset Place, hospital district",LOW-MED,9,0,0,0,1,0,1,condos-miami-dade-south-miami,South Miami condos,city-hub,"https://en.wikipedia.org/wiki/South_Miami,_Florida"
Sunny Isles Beach,MIAMI-DADE,"22,342",Oceanfront,Florida's Riviera / Little Moscow,Trump/Porsche/Armani towers; branded-condo capital of US,HIGH — branded ultra-luxury towers; int'l buyers,89,0,1,1,7,2,5,condos-miami-dade-sunny-isles-beach,Sunny Isles Beach condos,city-hub,"https://en.wikipedia.org/wiki/Sunny_Isles_Beach,_Florida"
Surfside,MIAMI-DADE,"~5,689",Oceanfront,Small-town beach,Champlain Towers South site (2021) — origin of every FL structural law; Four Seasons Surf Club,HIGH — the reason the laws exist; handle with care,39,0,0,1,1,3,1,condos-miami-dade-surfside,Surfside condos,city-hub,"https://en.wikipedia.org/wiki/Surfside,_Florida"
Sweetwater,MIAMI-DADE,"~19,363",Inland,Little Managua,"FIU main campus adjacency, Dolphin Mall",LOW,8,0,2,0,0,0,0,condos-miami-dade-sweetwater,Sweetwater condos,city-hub,"https://en.wikipedia.org/wiki/Sweetwater,_Florida"
Virginia Gardens,MIAMI-DADE,"~2,432",Inland,Aviation village,By MIA,NONE,2,0,0,0,0,0,0,condos-miami-dade-virginia-gardens,Virginia Gardens condos,city-hub,"https://en.wikipedia.org/wiki/Virginia_Gardens,_Florida"
West Miami,MIAMI-DADE,"~7,437",Inland,"Small city, big politics",Marco Rubio's hometown council seat,LOW,1,0,0,0,0,0,0,condos-miami-dade-west-miami,West Miami condos,city-hub,"https://en.wikipedia.org/wiki/West_Miami,_Florida"
Coconut Creek,BROWARD,"57,833",Inland,Butterfly Capital of the World,"Butterfly World, MainStreet project",LOW-MED — garden condo stock,72,0,8,8,5,0,3,condos-broward-coconut-creek,Coconut Creek condos,city-hub,"https://en.wikipedia.org/wiki/Coconut_Creek,_Florida"
Cooper City,BROWARD,"~34,401",Inland,Someplace special,"Top schools, family suburb",LOW,0,0,0,0,0,0,0,condos-broward-cooper-city,Cooper City condos,city-hub,"https://en.wikipedia.org/wiki/Cooper_City,_Florida"
Coral Springs,BROWARD,"134,394",Inland,Master-planned city,"WestGlades planning, strict signage code, Panthers practice home",MED — big garden-condo/townhome base,97,0,25,12,12,0,2,condos-broward-coral-springs,Coral Springs condos,city-hub,"https://en.wikipedia.org/wiki/Coral_Springs,_Florida"
Dania Beach,BROWARD,"31,723",Oceanfront,Broward's first city,"Oldest city in county (1904), Dania Pointe, antiques row, jai-alai",MED — pier-area older stock + new rentals,29,0,1,0,2,0,1,condos-broward-dania-beach,Dania Beach condos,city-hub,"https://en.wikipedia.org/wiki/Dania_Beach,_Florida"
Davie,BROWARD,"105,691",Inland,Western-themed town,"Horse trails, Bergeron Rodeo, NSU main campus",LOW-MED,50,0,11,7,6,0,1,condos-broward-davie,Davie condos,city-hub,"https://en.wikipedia.org/wiki/Davie,_Florida"
Deerfield Beach,BROWARD,"86,859",Oceanfront,Blue Wave beach,"Award-winning pier beach; Century Village East (8,500 units)",HIGH — Century Village = one of largest 55+ condo communities in US,246,0,2,4,14,0,2,condos-broward-deerfield-beach,Deerfield Beach condos,city-hub,"https://en.wikipedia.org/wiki/Deerfield_Beach,_Florida"
Fort Lauderdale,BROWARD,"182,760",Oceanfront,Venice of America,"165 mi of canals, yachting capital (50K yachts/100 marinas), Las Olas, Port Everglades (world #3 cruise port), Brightline",HIGH — county seat + downtown/beach tower stock + precon,317,0,39,17,47,20,10,condos-broward-fort-lauderdale,Fort Lauderdale condos,city-hub,"https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida"
Hallandale Beach,BROWARD,"41,217",Oceanfront,City of choice,"Gulfstream Park casino/racing, Big Easy, aging beach towers","HIGH — older beach towers, assessment-heavy",81,0,2,2,18,4,10,condos-broward-hallandale-beach,Hallandale Beach condos,city-hub,"https://en.wikipedia.org/wiki/Hallandale_Beach,_Florida"
