organization_firm,contact_role,category,phone,toll_free_alt,email,address_location,website,status,notes,source
Legal Aid Service of Broward County,Housing Rights Project,Legal Aid,954-765-8950,,,"491 N. State Road 7, Plantation, FL 33317",browardlegalaid.org,CURRENT,Free legal help for low-income homeowners & tenants; condo/HOA pre-foreclosure. Homeowner intake M–F 9–4:30.,FL_Condo_HOA_Master_Directory(1); Resource_Directory
Legal Aid Service of Broward County,Advice & Counsel Hotline,Legal Aid,954-736-2431,,,"491 N. State Road 7, Plantation, FL 33317",browardlegalaid.org/services/housingconsumer,CURRENT,Phone advice on mortgage & condo/HOA pre-foreclosure. Leave a message.,FL_Condo_HOA_Master_Directory(1); Resource_Directory
Legal Aid Service of Broward County,Veterans / SSVF Intake,Legal Aid,954-358-5636,,,"491 N. State Road 7, Plantation, FL 33317",browardlegalaid.org,CURRENT,Supportive Services for Veteran Families. By appt; bring DD-214.,FL_Condo_HOA_Master_Directory(1); Resource_Directory
"Becker & Poliakoff, P.A.",Admin office (Community Association practice),Law Firm,,1-800-432-7712,,"3111 Stirling Road, Fort Lauderdale, FL 33312-6525",becker-poliakoff.com,STALE,Largest FL community-association practice; publisher of Community Up-Date. 14 FL offices (see note). Contacts from 2006 bulletin.,SoFlo_Condo_Verify_Directory
"Becker & Poliakoff, P.A.","Donna D. Berger, Esq. — CALL Exec Director / Shareholder",Law Firm,,1-800-432-7712,dberger@becker-poliakoff.com,"Fort Lauderdale, FL",becker-poliakoff.com,STALE,Community association attorney. Byline data 2006 — verify still current.,SoFlo_Condo_Verify_Directory
Community Association Leadership Lobby (CALL),Advocacy group (est. 2003),Advocacy / Nonprofit,,1-800-432-7712,,"c/o Becker & Poliakoff, Fort Lauderdale, FL",callbp.com,STALE,"Represents 4,000+ member communities. From 2006 bulletin.",SoFlo_Condo_Verify_Directory
"Kelley, Grant & Tanis, P.A.",Real estate / community-association law firm,Law Firm,1-877-871-8300,,,Florida (statewide),kelleygrantlaw.com,VERIFY,FL HOA/Condo law (Ch. 718 & 720). Author of Ch.720-vs-718 explainer used as reference content.,FL_Condo_HOA_Master_Directory(2); Master_Index
"GRS Management Associates, Inc.",Property management,Management Co.,(561) 641-8554,,,"3900 Woodlake Blvd, Suite 309, Lake Worth, FL 33463",,VERIFY,Manages Sunrise of Palm Beach Condo Assn 1. Fax (561) 641-9448. Handles apps/docs.,Florida_Condo_HOA_Master_Directory
FirstService Residential,South Region,Management Co.,,,,Florida (South Region),fsresidential.com,CURRENT,"Statewide (1,500+ FL associations). Publisher of FL Condo/HOA Operating Spend benchmark guide.",Florida_Condo_HOA_Master_Directory
"L&L Exhibition Management, Inc.",Broward County Condo & HOA Expo organizer,Industry Event,1-800-374-6463,,info@homeshowcenter.com,"7809 Southtown Center #200, Bloomington, MN 55431",BrowardCondoHOAExpo.com,CURRENT,Produces the annual Broward Condo & HOA Expo (25+ yrs). Fax 952-881-4272.,FL-Condo-HOA-Master-Directory
